class,precision,recall,f1_score,support
AFW,0.95,0.75,0.84,757.0
CVL,0.75,0.66,0.7,727.0
DAT,0.68,0.61,0.64,615.0
LOC,0.17,0.22,0.19,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.86,0.98,0.91,637.0
STO,0.57,0.45,0.5,743.0
TIM,0.49,0.69,0.57,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.35,0.77,0.48,757.0
CVL,0.0,0.0,0.0,727.0
DAT,0.0,0.0,0.0,615.0
LOC,0.0,0.0,0.0,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.0,0.0,0.0,637.0
STO,0.0,0.0,0.0,743.0
TIM,0.0,0.0,0.0,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.35,0.77,0.48,757.0
CVL,0.0,0.0,0.0,727.0
DAT,0.0,0.0,0.0,615.0
LOC,0.0,0.0,0.0,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.0,0.0,0.0,637.0
STO,0.0,0.0,0.0,743.0
TIM,0.0,0.0,0.0,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.0,0.0,0.0,757.0
CVL,0.24,0.01,0.02,727.0
DAT,0.05,0.0,0.01,615.0
LOC,0.0,0.0,0.0,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.0,0.0,0.0,637.0
STO,0.0,0.0,0.0,743.0
TIM,0.0,0.0,0.0,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.92,0.77,0.84,757.0
CVL,0.8,0.69,0.74,727.0
DAT,0.45,0.69,0.55,615.0
LOC,0.15,0.17,0.16,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.95,0.83,0.89,637.0
STO,0.33,0.6,0.43,743.0
TIM,0.4,0.54,0.46,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.94,0.76,0.84,757.0
CVL,0.77,0.72,0.74,727.0
DAT,0.45,0.7,0.55,615.0
LOC,0.11,0.22,0.15,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.94,0.98,0.96,637.0
STO,0.26,0.13,0.17,743.0
TIM,0.54,0.47,0.5,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.93,0.76,0.84,757.0
CVL,0.62,0.72,0.67,727.0
DAT,0.55,0.64,0.59,615.0
LOC,0.14,0.18,0.16,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.35,0.47,0.4,743.0
TIM,0.48,0.55,0.51,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
class,precision,recall,f1_score,support
AFW,0.93,0.76,0.84,757.0
CVL,0.62,0.72,0.67,727.0
DAT,0.55,0.64,0.59,615.0
LOC,0.14,0.18,0.16,852.0
NUM,0.0,0.0,0.0,112.0
ORG,0.96,0.98,0.97,637.0
STO,0.35,0.47,0.4,743.0
TIM,0.48,0.55,0.51,461.0
TRM,0.0,0.0,0.0,221.0
UN,0.0,0.0,0.0,2.0
